~id,~label,name:String
0,condition,graves' disease
1,condition,food allergies
2,condition,fibromyalgia
3,condition,thoracic outlet syndrome
4,condition,narcolepsy
5,condition,fatigue
6,condition,pots
7,condition,inflammatory bowel disease (ibd)
8,condition,lupus
9,condition,systemic lupus erythematosus
10,condition,stress
11,condition,ankylosing spondylitis
12,condition,stomach pain
13,condition,polycystic ovary syndrome
14,condition,anxiety
15,condition,muscle aches
16,condition,rheumatoid arthritis
17,condition,traumatic brain injury
18,condition,joint pain
19,condition,gastroparesis
20,condition,lyme disease
21,condition,acid reflux
22,condition,sinus
23,condition,neck pain
24,condition,bloating
25,condition,chronic sinusitis
26,condition,hashimoto's disease
27,condition,postural orthostatic tachycardia syndrome
28,condition,panic attacks
29,condition,post-traumatic stress disorder (ptsd)
30,condition,chronic diarrhea
31,condition,ehlers-danlos syndrome
32,condition,ra
33,condition,hiv
34,condition,adhd
35,condition,gerd
36,condition,chronic migraine
37,condition,ibs
38,condition,fybromyalgia
39,condition,hay fever
40,condition,lower back pain
41,condition,pseudotumor cerebri
42,condition,tonsillitis
43,condition,leg pain
44,condition,endometriosis
45,condition,myalgic encephalomyelitis
46,condition,neuralgia
47,condition,word finding
48,condition,memory
49,condition,ulcerative colitis
50,condition,depression
51,condition,dust mite allergy
52,condition,undiagnosed
53,condition,anxiety disorder
54,condition,acute lymphoblastic leukemia
55,condition,asthma
56,condition,heavy metal toxcity
57,condition,mast cell activation syndrome
58,condition,general anxiety disorder
59,condition,back pain
60,condition,left hip pain
61,condition,left hip&groin
62,condition,hip/groin pain
63,condition,thumb tingling
64,condition,abdominal pain
65,condition,digestive upset
66,condition,pelvic floor pain
67,condition,constipation
68,condition,chronic pain
69,condition,crohn’s disease
70,condition,heds
71,condition,post concussion syndrome
72,condition,tmj disorders
73,condition,mood disorders
74,condition,chronic migraines
75,condition,muscle pain
76,condition,pollen allergy
77,condition,fatigued 
78,condition,stuffy nose
79,condition,chronic daily headaches
80,condition,nausea
81,condition,tongue sore
82,condition,muscle twitching
83,condition,insomnia
84,condition,rash
85,condition,night sweats
86,condition,gas and gas pains
87,condition,pinched nerve back
88,condition,hypertension
89,condition,chronic fatigue syndrome
90,condition,multiple sclerosis
91,condition,underactive thyroid
92,condition,chronic depression
93,condition,headache
94,condition,migranes
95,condition,dystonia
96,condition,blurred vision
97,condition,crps
98,condition,brain fog
99,condition,muscle weakness
100,condition,painsomnia
101,condition,big sad
102,condition,pain in toe joints l foot
103,condition,pelvic congestion syndrome
104,condition,peripheral neuropathy
105,condition,skin rashes
106,condition,itchyn
107,condition,extreme fatigue
108,condition,dysautonomia
109,condition,digestive issues
110,condition,migraine
111,condition,cough
112,condition,idiopathic hypersomnia
113,condition,migraines 
114,condition,trichotillomania
115,condition,interstitial cystitis
116,condition,eosinophilic esophagitis
117,condition,irritable bowel syndrome
118,condition,adult adhd
119,condition,hypothyroidism
120,condition,chronic pelvic pain
121,condition,chronic lyme
122,condition,chronic constipation
123,condition,acute sinusitis
124,condition,uti
125,condition,bipolar type ii
126,condition,hypermobility
127,condition,reflex sympathetic dystrophy
128,condition,urinary pain
129,condition,sjogren's syndrome
130,condition,crohn's disease
131,condition,hashimoto's thyroiditis
132,condition,ehlers danlos syndrome
133,condition,gastrointestinal
134,condition,irritable bladder
135,condition,new daily persistent headache
136,condition,migraines
137,condition,gallbladder polyps
138,condition,type 2 diabetes
139,condition,tiredness
140,condition,generalized anxiety disorder
