~id,~label,name:String,dosage:String
13659,treatment,aleve,"{'2 x 220mg': 11, '1 ': 4, '1 @ 3pm': 1}"
13660,treatment,methimazole,"{'10 mg': 30, '1 Dose': 1, '5 mg': 48, '20mg': 2, '2.5 mg': 18, '10 mg ': 1, '5mg': 8}"
13661,treatment,antihistamine,{'0.5': 1}
13662,treatment,imodium,"{'3 tablets': 1, '2mg': 12}"
13663,treatment,mobic,"{'1 pill ': 4, '7.5 mg': 10, '15 mg': 56}"
13664,treatment,mobic,{'1 pill ': 3}
13665,treatment,alprazolam,{'.025mg': 2}
13666,treatment,fludrocortisone,"{'2 x 200mcg': 1, '0.1 mg': 1, '.1 mg': 86, '3x .01mg': 4, '10 mg': 3, '0.1mg x3': 3, '2 x 0.2 mg': 1, '0.1mg x 2': 1, '0.2 mg': 12, '0.2mg, 0.1mg': 1, '.05 mg': 4, '0,1': 1, '10mg bid': 1}"
13667,treatment,gabapentin,"{'3 x 400mg': 1, '2 x 300.0 mg': 1, '3 × 600 mg': 1, '2 x 300mg': 1, '1 x 100mg': 9, '1 300mg 4x a day': 1, '4 x 300 mg': 1, '200 mg x 3': 9, '900mg': 2, '300.0 mg': 1, '200mg 3x': 3, '200 mg 3x': 3, '2 x 900 mg': 3, '3 x 600mg': 2}"
13668,treatment,ondansetron,"{'2 x 8mg': 1, '1 x 4mg': 23, '2 x 4mg': 3, '3 ': 2, '3': 55, '4mg': 1, '8.0 mg': 1, '4.0 mg': 8}"
13669,treatment,prochlorperazine,{'3 x 3mg': 1}
13670,treatment,sumatriptan,"{'100mg, 50mg': 1, '1 pill ': 1}"
13671,treatment,tramadol,"{'2 x 100mg': 1, '2 x 2.0 bid': 27, '50.0 mg': 2}"
13672,treatment,paracetamol,"{'2 x 1000 mg': 2, '2 x 500mg x2': 1, '2 dose': 1, '2 x 500mg': 1, '2 @ 1PM': 24, '(2 caps) x 2': 1, '2x500mg': 1}"
13673,treatment,ivabradine,"{'2x 2.5mg': 84, '1 x 5mg': 1, '3x5mg': 1, '2.5mg x 2': 1}"
13674,treatment,fludrocortisone,{'2 x 200mcg': 1}
13675,treatment,gabapentin,{'3 x 400mg': 1}
13676,treatment,ondansetron,{'2 x 8mg': 1}
13677,treatment,sumatriptan,"{'100mg, 50mg': 1}"
13678,treatment,tramadol,"{'2 x 100mg': 1, '2 x 50 mg': 11}"
13679,treatment,paracetamol,"{'2 x 1000 mg': 1, '1 dose': 4, '2 doses': 1}"
13680,treatment,ivabradine,{'2x 2.5mg': 1}
13681,treatment,prednisone 20mg,"{'1 x 20': 3, '20mg': 81}"
13682,treatment,prednisone 40mg,{'2 x 20mg': 3}
13683,treatment,prednisone 20mg,{'1 x 20': 3}
13684,treatment,metformin,"{'Extended release x2 500mg': 1, '500.0 mg': 1, '2 x 500 mg': 1, '1.0 pill': 13, '3 x 500 mg': 1}"
13685,treatment,levothyroxine,"{'.125': 2, '1 x 50mcg': 1, '1 x .025 mg': 1, '88 mcg': 3, '75mcg': 1, '0.75': 1, '50.0 mcg': 1, '112 mcg': 2, '325': 1, '.100 mcg': 78, '.88mcg': 1}"
13686,treatment,lisinopril,{'10mg': 1}
13687,treatment,metformin,"{'Extended release x2 500mg': 1, '750.0 mg': 2, '1 x 500 mg': 1, '2 x 500 mg': 1, '1.0 pill': 1, '1000 x2': 1}"
13688,treatment,gabapentin,"{'300-200-300': 92, '300-200-200': 14, '100 mg x2': 1}"
13689,treatment,ibuprofen,{'1-0-1-0': 106}
13690,treatment,cipralex,{'20mg': 106}
13691,treatment,hypnotherapy,{'30min': 106}
13692,treatment,novalgin,"{'x1': 86, 'x2': 20}"
13693,treatment,pemft (bemer),"{'1': 1, '4-p1': 2, '3-p1': 9, '1-p1': 94}"
13694,treatment,transcranial bright light,{'12’ - Morning': 106}
13695,treatment,physiotherapy,{'30 min': 105}
13696,treatment,motilium,"{'1x': 100, '2x': 5}"
