~id, ~label, dosage:String
graves' disease,Condition,
food allergies,Condition,
fibromyalgia,Condition,
thoracic outlet syndrome,Condition,
narcolepsy,Condition,
fatigue,Condition,
pots,Condition,
inflammatory bowel disease (ibd),Condition,
lupus,Condition,
systemic lupus erythematosus,Condition,
stress,Condition,
ankylosing spondylitis,Condition,
stomach pain,Condition,
polycystic ovary syndrome,Condition,
anxiety,Condition,
muscle aches,Condition,
rheumatoid arthritis,Condition,
traumatic brain injury,Condition,
joint pain,Condition,
gastroparesis,Condition,
lyme disease,Condition,
acid reflux,Condition,
sinus,Condition,
neck pain,Condition,
bloating,Condition,
chronic sinusitis,Condition,
hashimoto's disease,Condition,
postural orthostatic tachycardia syndrome,Condition,
panic attacks,Condition,
post-traumatic stress disorder (ptsd),Condition,
chronic diarrhea,Condition,
ehlers-danlos syndrome,Condition,
ra,Condition,
hiv,Condition,
adhd,Condition,
gerd,Condition,
chronic migraine,Condition,
ibs,Condition,
fybromyalgia,Condition,
hay fever,Condition,
lower back pain,Condition,
pseudotumor cerebri,Condition,
tonsillitis,Condition,
leg pain,Condition,
endometriosis,Condition,
myalgic encephalomyelitis,Condition,
neuralgia,Condition,
word finding,Condition,
memory,Condition,
ulcerative colitis,Condition,
depression,Condition,
dust mite allergy,Condition,
undiagnosed,Condition,
anxiety disorder,Condition,
acute lymphoblastic leukemia,Condition,
asthma,Condition,
heavy metal toxcity,Condition,
mast cell activation syndrome,Condition,
general anxiety disorder,Condition,
back pain,Condition,
left hip pain,Condition,
left hip&groin,Condition,
hip/groin pain,Condition,
thumb tingling,Condition,
abdominal pain,Condition,
digestive upset,Condition,
pelvic floor pain,Condition,
constipation,Condition,
chronic pain,Condition,
crohn’s disease,Condition,
heds,Condition,
post concussion syndrome,Condition,
tmj disorders,Condition,
mood disorders,Condition,
chronic migraines,Condition,
muscle pain,Condition,
pollen allergy,Condition,
fatigued ,Condition,
stuffy nose,Condition,
chronic daily headaches,Condition,
nausea,Condition,
tongue sore,Condition,
muscle twitching,Condition,
insomnia,Condition,
rash,Condition,
night sweats,Condition,
gas and gas pains,Condition,
pinched nerve back,Condition,
hypertension,Condition,
chronic fatigue syndrome,Condition,
multiple sclerosis,Condition,
underactive thyroid,Condition,
chronic depression,Condition,
headache,Condition,
migranes,Condition,
dystonia,Condition,
blurred vision,Condition,
crps,Condition,
brain fog,Condition,
muscle weakness,Condition,
painsomnia,Condition,
big sad,Condition,
pain in toe joints l foot,Condition,
pelvic congestion syndrome,Condition,
peripheral neuropathy,Condition,
skin rashes,Condition,
itchyn,Condition,
extreme fatigue,Condition,
dysautonomia,Condition,
digestive issues,Condition,
migraine,Condition,
cough,Condition,
idiopathic hypersomnia,Condition,
migraines ,Condition,
trichotillomania,Condition,
interstitial cystitis,Condition,
eosinophilic esophagitis,Condition,
irritable bowel syndrome,Condition,
adult adhd,Condition,
hypothyroidism,Condition,
chronic pelvic pain,Condition,
chronic lyme,Condition,
chronic constipation,Condition,
acute sinusitis,Condition,
uti,Condition,
bipolar type ii,Condition,
hypermobility,Condition,
reflex sympathetic dystrophy,Condition,
urinary pain,Condition,
sjogren's syndrome,Condition,
crohn's disease,Condition,
hashimoto's thyroiditis,Condition,
ehlers danlos syndrome,Condition,
gastrointestinal,Condition,
irritable bladder,Condition,
new daily persistent headache,Condition,
migraines,Condition,
gallbladder polyps,Condition,
type 2 diabetes,Condition,
tiredness,Condition,
generalized anxiety disorder,Condition,
sciatica,Condition,
personality disorders,Condition,
chiari maformation,Condition,
occipital neuralgia,Condition,
caebv,Condition,
allodynia,Condition,
teeth pain,Condition,
chronic pain syndrome,Condition,
irradiation ,Condition,
ms,Condition,
numbness,Condition,
low back pain,Condition,
knee pain,Condition,
pans,Condition,
maladaptive daydreaming,Condition,
degenerative disc disease,Condition,
epilepsy,Condition,
spinal stenosis,Condition,
craniocervical instability,Condition,
hip dysplasia,Condition,
dermatographia,Condition,
jaw pain,Condition,
common cold,Condition,
cervical stenosis,Condition,
ocular migraine,Condition,
behcet's disease,Condition,
restless sleep,Condition,
migraine with aura,Condition,
fibromylgia,Condition,
ankle pain,Condition,
muscle fatigue,Condition,
chronic illness,Condition,
rhumatoid arthritis,Condition,
tachycardia,Condition,
c-ptsd,Condition,
lethargic,Condition,
neck and shoulder pain,Condition,
parkinsonism,Condition,
athletes foot,Condition,
eds,Condition,
postural orthostatic tachycardia syndrome (pots),Condition,
candida overgrowth,Condition,
small fiber neuropathy,Condition,
raynaud's disease,Condition,
mixed connective tissue disease,Condition,
patella alta,Condition,
adrenal insufficiency,Condition,
ibs-c,Condition,
chronic pancreatitis,Condition,
depression/anxiety,Condition,
me/cfs,Condition,
meniere's disease,Condition,
tingling,Condition,
complex regional pain syndrome,Condition,
body aches,Condition,
"sleep apnea,
  obstructive",Condition,
neck out,Condition,
earache,Condition,
osteoarthritis,Condition,
kidney pain,Condition,
swollen lymph nodes,Condition,
crohns,Condition,
psoriasis,Condition,
cystic fibrosis,Condition,
kidney stones,Condition,
gastritis,Condition,
sibo,Condition,
muscle cramps,Condition,
diarrhea,Condition,
cold,Condition,
bile reflux,Condition,
crohns disease,Condition,
mcardles disease,Condition,
acoustic neuroma,Condition,
anger,Condition,
chronic neck pain,Condition,
allergies,Condition,
celiac disease,Condition,
pain in face and jaw,Condition,
cptsd,Condition,
antiphospholipid syndrome,Condition,
dry mouth,Condition,
exhaustion,Condition,
barrett's esophagus,Condition,
autoimmune flare,Condition,
tinitus,Condition,
pandas,Condition,
lack of energy,Condition,
inflammation,Condition,
chronic,Condition,
influenza (flu),Condition,
fever,Condition,
major depressive disorder,Condition,
blood pressure,Condition,
sleep disorders,Condition,
aspergers,Condition,
heart palpitations,Condition,
pain level,Condition,
menstrual cramps,Condition,
indigestion,Condition,
vertigo,Condition,
juvenile rheumatoid arthritis,Condition,
upper back pain,Condition,
dehydration,Condition,
overheated,Condition,
chronic back pain,Condition,
leg numbness,Condition,
amn,Condition,
post exertion malaise ,Condition,
enlarged prostate,Condition,
frozen shoulder,Condition,
potassium deficiency,Condition,
vitamin d deficiency,Condition,
left shoulder,Condition,
light sensitivity,Condition,
right knee pain,Condition,
achalasia,Condition,
piriformis syndrome,Condition,
binge restrict ed,Condition,
fibromalgia,Condition,
feeling like i have to urinate,Condition,
bipolar disorder,Condition,
muscle tightness,Condition,
fibromyalgia m.e.,Condition,
ureteral obstruction,Condition,
bladder infection,Condition,
microscopic colitis,Condition,
copper toxicity ,Condition,
acne,Condition,
gastrointestinal pain,Condition,
colitis ?,Condition,
trigeminal neuralgia,Condition,
spina bifida,Condition,
gastrointestinal symptoms,Condition,
social anxiety disorder,Condition,
anorexia b/p subtype,Condition,
sore glands,Condition,
pfapa,Condition,
short term memory loss,Condition,
hives,Condition,
shoulder pain,Condition,
scoliosis,Condition,
anaphylaxis,Condition,
hypermobility spectrum disorder,Condition,
joint hypermobility syndrome,Condition,
restless leg syndrome,Condition,
dysmenorrhea,Condition,
tingling hands,Condition,
diverticulitis,Condition,
idiopathic angiodema,Condition,
mental illness,Condition,
chest pain,Condition,
knees,Condition,
seasonal allergies,Condition,
plantar fasciitis,Condition,
h. pylori infection,Condition,
amplified musculoskeletal pain syndrome,Condition,
headaches,Condition,
bpd,Condition,
energy,Condition,
scleroderma,Condition,
sleep problems,Condition,
spondylitis,Condition,
head ache,Condition,
brain tumor,Condition,
crying,Condition,
poor circulation,Condition,
sinus drainage,Condition,
chronic headache,Condition,
loss of appetite,Condition,
neuro sarcoidosis,Condition,
urinary incontinence,Condition,
phobias,Condition,
lactose intolerance,Condition,
adrenal fatigue,Condition,
vulvodynia,Condition,
bowels,Condition,
schizophrenia,Condition,
problems sleeping,Condition,
rapid heart rate,Condition,
pain,Condition,
autoimmun diseases,Condition,
sjogrens,Condition,
autism,Condition,
angioedema,Condition,
butterfly rash,Condition,
chronic joint pain,Condition,
migraine headache,Condition,
orthostatic hypertension,Condition,
disorientation,Condition,
raynauds phenomenon,Condition,
irregular menstruation,Condition,
wrist pain,Condition,
fructose malabsorption,Condition,
uctd,Condition,
sickle cell anemia,Condition,
abdominal migraines,Condition,
restless legs,Condition,
dizziness,Condition,
autoimmune,Condition,
pem,Condition,
sad,Condition,
sob,Condition,
inattention,Condition,
arthritis,Condition,
herniated disk,Condition,
dislocating hips,Condition,
low energy,Condition,
joint hypermobility,Condition,
dyslexia,Condition,
tired,Condition,
fibro fog,Condition,
inflamation,Condition,
labral tear - left hip,Condition,
restless legs syndrome,Condition,
vestibular dysfunction,Condition,
chronic fatigue,Condition,
arm pain,Condition,
throat tightning,Condition,
hydradentitis,Condition,
proctitis,Condition,
pmdd,Condition,
cfs,Condition,
gi issues,Condition,
eczema,Condition,
body pain,Condition,
dequervains tendonitis ,Condition,
broken bone in right foot,Condition,
polycystic ovary syndrome (pcos),Condition,
major depression,Condition,
neurological symptoms,Condition,
severe migraines,Condition,
gastro,Condition,
delayed sleep phase,Condition,
eosinophillic esophagitis,Condition,
gut pain,Condition,
chronic knee pain,Condition,
generalized pain,Condition,
pectus excavatum,Condition,
paresthesia,Condition,
detatched,Condition,
sweating,Condition,
ear ache,Condition,
copd,Condition,
osteoporosis,Condition,
seizure,Condition,
energy level,Condition,
cluster headache,Condition,
foot pain,Condition,
happiness,Condition,
snoring,Condition,
systemic mastocytosis,Condition,
